Event	Block	Trial	StimNum	SlideNum	WordStr	Time	Sentence_type	Condition	Viol_on_slide
WORD_OFF	1	3	0	8	 	1569491227.1631	objrel_that	PP	4	
WORD_ON	1	3	0	9	figli	1569491227.4132	objrel_that	PP	4	
WORD_OFF	1	3	0	9	 	1569491227.6632	objrel_that	PP	4	
FIX2PANEL_ON	1	3	-	-	+	1569491227.9132	objrel_that	PP	4	
FIX2PANEL_OFF	1	3	-	-	 	1569491228.3965	objrel_that	PP	4	
PanelOn	1	3	-	-	 	1569491228.4132	objrel_that	PP	4	
PanelOff	1	3	-	-	ACCEPTABLE	1569491228.7798	objrel_that	PP	4	
PanelResp	1	3	-	-	ACCEPTABLE	0.35715	objrel_that	PP	4	
FeedbackOn	1	3	-	-	 	1569491228.7965	objrel_that	PP	4	
FeedbackOff	1	3	-	-	 	1569491228.8132	objrel_that	PP	4	
END_TRIAL	1	3	-	-	WRONG	0	objrel_that	PP	4	
FIX_ON	1	4	0	-	+	1569491229.8465	objrel_that	PS	4	
WORD_ON	1	4	0	1	le	1569491230.4632	objrel_that	PS	4	
WORD_OFF	1	4	0	1	 	1569491230.7132	objrel_that	PS	4	
WORD_ON	1	4	0	2	bambine	1569491230.9632	objrel_that	PS	4	
WORD_OFF	1	4	0	2	 	1569491231.2132	objrel_that	PS	4	
KEY_PRESS	1	4	0	2	54	1569491231.3862	objrel_that	PS	4	
WORD_ON	1	4	0	3	che	1569491231.4632	objrel_that	PS	4	
KEY_PRESS	1	4	0	3	54	1569491231.4658	objrel_that	PS	4	
